ETitalics
Stelgidopteryx serripennis
Riparia riparia
Petrochelidon pyrrhonota
Hirundo rustica
Perisoreus canadensis
Cyanocitta cristata
Corvus brachyrhynchos
Corvus ossifragus
Corvus corax
Poecile atricapillus
Poecile carolinensis
Poecile hudsonica
Baeolophus bicolor
Sitta canadensis
Sitta carolinensis
Certhia americana
Thryothorus ludovicianus
Thryomanes bewickii
Thryomanes bewickii altus
Troglodytes aedon
Troglodytes hiemalis
Cistothorus platensis
Cistothorus palustris
Regulus satrapa
Regulus calendula
Polioptila caerulea
Oenanthe oenanthe
Sialia sialis
Sialia currucoides
Catharus fuscescens
Catharus minimus
Catharus ustulatus
Catharus guttatus
Catharus bicknelli
Hylocichla mustelina
Turdus migratorius
Ixoreus naevius
Dumetella carolinensis
Mimus polyglottos
Toxostoma rufum
Anthus rubescens
Bombycilla garrulus
Bombycilla cedrorum
Lanius ludovicianus migrans
Lanius borealis
Sturnus vulgaris
Vireo griseus
Vireo solitarius
Vireo flavifrons
Vireo gilvus
Vireo philadelphicus
Vireo olivaceus
Vermivora cyanoptera
Vermivora chrysoptera
Oreothlypis peregrina
Oreothlypis celata
Oreothlypis ruficapilla
Setophaga americana
Setophaga petechia
Setophaga pensylvanica
Setophaga magnolia
Setophaga tigrina
Setophaga caerulescens
Setophaga coronata
Dendroica nigrescens
Setophaga townsendi
Setophaga virens
Setophaga fusca
Setophaga dominica
Setophaga pinus
Setophaga kirtlandii
Setophaga discolor
Setophaga palmarum
Setophaga castanea
Setophaga striata
Setophaga cerulea
Mniotilta varia
Setophaga ruticilla
Protonotaria citrea
Helmitheros vermivorum
Limnothlypis swainsonii
Seiurus aurocapilla
Parkesia noveboracensis
Parkesia motacilla
Geothlypis formosa
Oporornis agilis
Geothlypis philadelphia
Geothlypis trichas
Setophaga citrina
Cardellina pusilla
Cardellina canadensis
Icteria virens
Piranga rubra
Piranga olivacea
Piranga ludoviciana
Cardinalis cardinalis
Pheucticus ludovicianus
Pheucticus melanocephalus
Passerina caerulea
Passerina amoena
Passerina cyanea
Passerina ciris
Spiza americana
Pipilo erythrophthalmus
Peucaea aestivalis
Spizella arborea
Spizella passerina
Spizella pallida
Spizella pusilla
Pooecetes gramineus
Chondestes grammacus
Calamospiza melanocorys
Passerculus sandwichensis
Ammodramus savannarum
Ammodramus henslowii
Ammodramus caudacutus
Ammodramus maritimus
Ammodramus nelsoni
Passerella iliaca
Melospiza melodia
Melospiza lincolnii
Melospiza georgiana
Zonotrichia albicollis
Zonotrichia atricapilla
Zonotrichia leucophrys
